Code,Product,ICEV,PHEV,BEV,FCEV
28,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0000003300 ,0.0000003300 ,0.0000003300 ,0.0000001540 
55,Textiles (17),0.0000056020 ,0.0000056020 ,0.0000056020 ,0.0000026142 
56,Wearing apparel; furs (18),0.0000159599 ,0.0000160984 ,0.0000161625 ,0.0000074970 
57,Leather and leather products (19),0.0000007352 ,0.0000007352 ,0.0000007352 ,0.0000003431 
58,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),0.0000003439 ,0.0000003439 ,0.0000003439 ,0.0000001605 
62,Paper and paper products,0.0000004145 ,0.0000004145 ,0.0000004145 ,0.0000001934 
63,Printed matter and recorded media (22),0.0000098432 ,0.0000153022 ,0.0000178288 ,0.0000065384 
67,Motor Gasoline,0.0000006817 ,0.0000016342 ,0.0000020751 ,0.0000006575 
68,Aviation Gasoline,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 
71,Kerosene,0.0000001716 ,0.0000004115 ,0.0000005225 ,0.0000001656 
72,Gas/Diesel Oil,0.0000003188 ,0.0000007642 ,0.0000009703 ,0.0000003075 
73,Heavy Fuel Oil,0.0000002974 ,0.0000007130 ,0.0000009053 ,0.0000002869 
75,Liquefied Petroleum Gases (LPG),0.0000006913 ,0.0000016573 ,0.0000021045 ,0.0000006668 
77,Ethane,0.0000000000 ,0.0000000000 ,0.0000000000 ,0.0000000000 
78,Naphtha,0.0000019555 ,0.0000046881 ,0.0000059528 ,0.0000018862 
79,White Spirit & SBP,0.0000000076 ,0.0000000182 ,0.0000000231 ,0.0000000073 
81,Bitumen,0.0000000875 ,0.0000002098 ,0.0000002663 ,0.0000000844 
90,Chemicals nec,0.0000387493 ,0.0000387493 ,0.0000387493 ,0.0036887333 
96,Rubber and plastic products (25),0.0002735709 ,0.0002735709 ,0.0002735709 ,0.0051254584 
97,Glass and glass products,0.0000817444 ,0.0000817444 ,0.0000817444 ,0.0000381459 
103,Other non-metallic mineral products,0.0000123350 ,0.0000123350 ,0.0000123350 ,0.0008037237 
104,Basic iron and steel and of ferro-alloys and first products thereof,0.0002902627 ,0.0002902627 ,0.0002902627 ,0.0001354504 
114,Other non-ferrous metal products,0.0000456866 ,0.0002438210 ,0.0002439156 ,0.0000897168 
116,Foundry work services,0.0000000576 ,0.0000000576 ,0.0000000576 ,0.0000000269 
117,"Fabricated metal products, except machinery and equipment (28)",0.0000306007 ,0.0000318680 ,0.0000324546 ,0.0018500568 
118,Machinery and equipment n.e.c. (29),0.0000034628 ,0.0000034628 ,0.0000034628 ,0.0000016159 
120,Electrical machinery and apparatus n.e.c. (31),0.0002808883 ,0.0037178342 ,0.0088717863 ,0.0029809842 
121,"Radio, television and communication equipment and apparatus (32)",0.0001323015 ,0.0001353144 ,0.0001367089 ,0.0000628118 
123,"Motor vehicles, trailers and semi-trailers (34)",0.0043572888 ,0.0043572892 ,0.0029629567 ,0.0013826571 
125,Furniture; other manufactured goods n.e.c. (36),0.0000060545 ,0.0000071840 ,0.0000077068 ,0.0000032278 
128,Electricity by coal,0.0000144100 ,0.0000206711 ,0.0000235689 ,0.0000089553 
129,Electricity by gas,0.0000182956 ,0.0000262449 ,0.0000299242 ,0.0000113701 
130,Electricity by nuclear,0.0000017958 ,0.0000025760 ,0.0000029371 ,0.0000011160 
131,Electricity by hydro,0.0000040570 ,0.0000058198 ,0.0000066356 ,0.0000025213 
132,Electricity by wind,0.0000004157 ,0.0000005963 ,0.0000006799 ,0.0000002583 
133,Electricity by petroleum and other oil derivatives,0.0000014776 ,0.0000021195 ,0.0000024167 ,0.0000009183 
134,Electricity by biomass and waste,0.0000021255 ,0.0000030490 ,0.0000034764 ,0.0000013209 
135,Electricity by solar photovoltaic,0.0000036649 ,0.0000052573 ,0.0000059943 ,0.0000022776 
138,Electricity by Geothermal,0.0000001386 ,0.0000001989 ,0.0000002268 ,0.0000000862 
