scenario,region,ICEV,PHEV,BEV,FCEV
normal,US,0.1453,0.1453,0.1453,0.1453
normal,CN,0.0824,0.0824,0.0824,0.0824
normal,DE,0.0633,0.0633,0.0633,0.0633
normal,CZ,0.0612,0.0612,0.0612,0.0612
normal,SE,0.0579,0.0579,0.0579,0.0579
normal,SE,0.0518,0.0518,0.0518,0.0518
normal,CN,0.0451,0.0451,0.0451,0.0451
normal,US,0.0445,0.0445,0.0445,0.0445
normal,DE,0.0442,0.0442,0.0442,0.0442
normal,RO,0.0434,0.0434,0.0434,0.0434
normal,FR,0.0416,0.0416,0.0416,0.0416
normal,DE,0.0402,0.0402,0.0402,0.0402
normal,DE,0.0377,0.0377,0.0377,0.0377
normal,KR,0.0372,0.0372,0.0372,0.0372
normal,IT,0.0367,0.0367,0.0367,0.0367
normal,DE,0.0347,0.0347,0.0347,0.0347
normal,DE,0.0344,0.0344,0.0344,0.0344
normal,FR,0.0335,0.0335,0.0335,0.0335
normal,FR,0.0329,0.0329,0.0329,0.0329
normal,KR,0.0319,0.0319,0.0319,0.0319
