classification,sector
"Agriculture, hunting and forestry",Paddy rice
"Agriculture, hunting and forestry",Wheat
"Agriculture, hunting and forestry",Cereal grains nec
"Agriculture, hunting and forestry","Vegetables, fruit, nuts"
"Agriculture, hunting and forestry",Oil seeds
"Agriculture, hunting and forestry","Sugar cane, sugar beet"
"Agriculture, hunting and forestry",Plant-based fibers
"Agriculture, hunting and forestry",Crops nec
"Agriculture, hunting and forestry",Cattle
"Agriculture, hunting and forestry",Pigs
"Agriculture, hunting and forestry",Poultry
"Agriculture, hunting and forestry",Meat animals nec
"Agriculture, hunting and forestry",Animal products nec
"Agriculture, hunting and forestry",Raw milk
"Agriculture, hunting and forestry","Wool, silk-worm cocoons"
"Agriculture, hunting and forestry",Manure (conventional treatment)
"Agriculture, hunting and forestry",Manure (biogas treatment)
"Agriculture, hunting and forestry","Products of forestry, logging and related services (02)"
Fishing,Fish and other fishing products; services incidental of fishing (05)
Mining and quarrying,Anthracite
Mining and quarrying,Coking Coal
Mining and quarrying,Other Bituminous Coal
Mining and quarrying,Sub-Bituminous Coal
Mining and quarrying,Patent Fuel
Mining and quarrying,Lignite/Brown Coal
Mining and quarrying,BKB/Peat Briquettes
Mining and quarrying,Peat
Mining and quarrying,"Crude petroleum and services related to crude oil extraction, excluding surveying"
Mining and quarrying,"Natural gas and services related to natural gas extraction, excluding surveying"
Mining and quarrying,Natural Gas Liquids
Mining and quarrying,Other Hydrocarbons
Mining and quarrying,Uranium and thorium ores (12)
Mining and quarrying,Iron ores
Mining and quarrying,Copper ores and concentrates
Mining and quarrying,Nickel ores and concentrates
Mining and quarrying,Aluminium ores and concentrates
Mining and quarrying,Precious metal ores and concentrates
Mining and quarrying,"Lead, zinc and tin ores and concentrates"
Mining and quarrying,Other non-ferrous metal ores and concentrates
Mining and quarrying,Stone
Mining and quarrying,Sand and clay
Mining and quarrying,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
Manufacturing,Products of meat cattle
Manufacturing,Products of meat pigs
Manufacturing,Products of meat poultry
Manufacturing,Meat products nec
Manufacturing,products of Vegetable oils and fats
Manufacturing,Dairy products
Manufacturing,Processed rice
Manufacturing,Sugar
Manufacturing,Food products nec
Manufacturing,Beverages
Manufacturing,Fish products
Manufacturing,Tobacco products (16)
Manufacturing,Textiles (17)
Manufacturing,Wearing apparel; furs (18)
Manufacturing,Leather and leather products (19)
Manufacturing,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
Manufacturing,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
Manufacturing,Pulp
Manufacturing,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
Manufacturing,Paper and paper products
Manufacturing,Printed matter and recorded media (22)
Manufacturing,Coke Oven Coke
Manufacturing,Gas Coke
Manufacturing,Coal Tar
Manufacturing,Motor Gasoline
Manufacturing,Aviation Gasoline
Manufacturing,Gasoline Type Jet Fuel
Manufacturing,Kerosene Type Jet Fuel
Manufacturing,Kerosene
Manufacturing,Gas/Diesel Oil
Manufacturing,Heavy Fuel Oil
Manufacturing,Refinery Gas
Manufacturing,Liquefied Petroleum Gases (LPG)
Manufacturing,Refinery Feedstocks
Manufacturing,Ethane
Manufacturing,Naphtha
Manufacturing,White Spirit & SBP
Manufacturing,Lubricants
